STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,YEAR,PRCP.mm,TEMP.max,TEMP.min,TEMP.avg
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/8/2015,2015,0,81,60,70.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/9/2015,2015,0,85,55,70
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/10/2015,2015,0,83,53,68
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/11/2015,2015,11.7,72,51,61.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/12/2015,2015,0,73,54,63.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/13/2015,2015,0,82,52,67
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/14/2015,2015,0,87,63,75
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/15/2015,2015,0,91,64,77.5
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/16/2015,2015,0,86,66,76
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/17/2015,2015,0,84,58,71
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/18/2015,2015,0,69,51,60
GHCND:US10hall008,WOOD RIVER 0.2 NNE NE US,604.1,40.8229,-98.5984,9/29/2015,2015,6.6,70,51,60.5
